Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
6,0,6,2,no,yes,ar/vr development,AR/VR Development,good,medium,security,Software Development,IoT Startups,no,Mystery,Technical,smart worker,yes,no,Systems Analyst
8,3,9,9,no,no,Machine Learning,Machine Learning,good,excellent,developer,AI,Big Data Companies,yes,Art,Technical,smart worker,yes,yes,Machine Learning Engineer
2,3,6,6,no,no,robotics process automation (RPA),Robotic Process Automation (RPA),good,good,developer,Robotics,security,no,Childrens,Management,hard worker,no,no,IT Project Manager
2,1,9,9,yes,yes,Certified AI Engineer,Cloud Computing,medium,excellent,developer,Cloud Computing,developer,no,Drama,Technical,smart worker,no,yes,Cloud Solutions Architect
5,3,9,9,no,no,Product Management Professional (PMP),Product Management,very good,good,cloud computing,Product Management,Sales and Marketing,no,Autobiographies,Management,hard worker,yes,no,Product Manager
8,10,3,2,yes,yes,ai for healthcare,AI for Healthcare,medium,very good,cloud computing,AI Research,Product based,no,Horror,Technical,hard worker,yes,no,AI Specialist
6,7,8,7,yes,yes,devops certified engineer,DevOps,very good,medium,cloud computing,DevOps,Web Services,no,Action and Adventure,Technical,hard worker,yes,no,DevOps Engineer
5,10,7,9,no,no,Robotics Engineering Certification,Cloud Computing,medium,very good,security,Cloud Computing,developer,yes,History,Technical,hard worker,yes,yes,Cloud Solutions Architect
6,7,9,9,no,yes,ar/vr development,AR/VR Development,very good,excellent,cloud computing,Web Development,Web Services,yes,Fantasy,Technical,hard worker,yes,yes,Systems Analyst
2,9,6,10,no,no,Cybersecurity,AI,good,very good,developer,Machine Learning,developer,no,Cookbooks,Technical,hard worker,yes,no,Cybersecurity Analyst
5,1,9,3,yes,no,Cybersecurity,Cybersecurity,excellent,very good,security,Cybersecurity,AI Research Labs,yes,Science fiction,Technical,hard worker,yes,no,Cybersecurity Analyst
8,9,2,5,yes,no,Certified ERP Consultant,ERP Systems,medium,very good,security,ERP,Service Based,no,Comics,Management,hard worker,yes,no,ERP Consultant
6,6,7,2,no,yes,Robotics Engineering Certification,Cloud Computing,medium,good,developer,Cloud Computing,developer,no,Science,Technical,hard worker,no,no,Cloud Solutions Architect
6,5,2,6,no,no,Quantum Computing Certification,Cloud Computing,good,good,developer,Cloud Computing,developer,no,Math,Technical,smart worker,no,no,Cloud Solutions Architect
6,9,7,2,yes,no,robotics process automation (RPA),Robotic Process Automation (RPA),excellent,very good,developer,Robotics,AI Research Labs,yes,Horror,Management,smart worker,no,no,IT Project Manager
1,9,8,8,yes,no,blockchain developer,Blockchain Technologies,medium,very good,developer,Blockchain Development,Big Data Companies,no,Comics,Technical,smart worker,yes,no,Blockchain Developer
2,5,9,10,yes,no,Robotics Engineering Certification,Cloud Computing,medium,very good,security,Cloud Computing,developer,no,Biographies,Technical,hard worker,no,no,Cloud Solutions Architect
6,3,1,2,yes,no,Data Science,Data Science,medium,excellent,developer,Data Science,security,yes,Math,Technical,smart worker,yes,yes,Data Scientist
10,10,9,10,no,no,ai for healthcare,AI for Healthcare,good,good,cloud computing,AI Research,Web Services,yes,Drama,Technical,smart worker,yes,yes,AI Specialist
8,3,1,2,yes,no,Certified ERP Consultant,ERP Systems,very good,excellent,developer,ERP,Product based,yes,Horror,Management,hard worker,yes,yes,ERP Consultant
6,6,5,7,no,yes,blockchain developer,Blockchain Technologies,medium,excellent,security,Blockchain Development,Product based,no,Travel,Technical,hard worker,no,yes,Blockchain Developer
4,2,5,10,yes,no,Certified ERP Consultant,ERP Systems,medium,excellent,developer,ERP,Product based,yes,Childrens,Management,hard worker,yes,yes,ERP Consultant
1,7,1,4,no,yes,Data Science,AI,excellent,good,security,Data Science,Data Science Firms,yes,Series,Technical,hard worker,yes,no,Data Scientist
2,3,5,10,yes,yes,devops certified engineer,DevOps,good,excellent,security,DevOps,security,no,Math,Technical,hard worker,no,no,DevOps Engineer
8,5,1,7,no,yes,Product Management Professional (PMP),Product Management,very good,medium,developer,Product Management,Service Based,no,Action and Adventure,Management,smart worker,no,no,Product Manager
4,1,1,4,no,yes,devops certified engineer,DevOps,good,excellent,developer,DevOps,Data Science Firms,no,Guide,Technical,hard worker,yes,no,DevOps Engineer
3,7,9,2,yes,yes,Certified ERP Consultant,ERP Systems,very good,medium,developer,ERP,Product based,yes,Guide,Management,smart worker,yes,no,ERP Consultant
1,5,4,3,yes,yes,ai for healthcare,AI for Healthcare,very good,good,security,AI Research,Big Data Companies,no,Science,Technical,hard worker,no,no,AI Specialist
2,1,9,3,yes,no,robotics process automation (RPA),Robotic Process Automation (RPA),very good,very good,security,Robotics,developer,yes,Journals,Management,hard worker,no,yes,IT Project Manager
7,9,1,2,yes,no,Certified ERP Consultant,ERP Systems,excellent,medium,security,ERP,Product based,yes,Poetry,Management,smart worker,yes,no,ERP Consultant
1,2,8,3,yes,no,ar/vr development,AR/VR Development,good,medium,developer,Web Development,Web Services,yes,Science fiction,Technical,smart worker,no,yes,Systems Analyst
6,3,4,5,yes,no,Product Management Professional (PMP),Product Management,medium,very good,security,Product Management,Product based,yes,Math,Management,smart worker,no,yes,Product Manager
10,3,4,10,no,yes,ai for healthcare,AI for Healthcare,medium,excellent,cloud computing,AI Research,Product based,yes,Autobiographies,Technical,smart worker,no,yes,AI Specialist
10,7,4,6,no,yes,robotics process automation (RPA),Robotic Process Automation (RPA),medium,very good,developer,Robotics,Web Services,yes,Science,Management,hard worker,yes,yes,IT Project Manager
5,10,9,4,yes,yes,Data Science,AI,medium,good,security,Data Science,IoT Startups,no,Childrens,Technical,smart worker,no,no,Data Scientist
3,1,3,9,no,yes,Robotics Engineering Certification,Cloud Computing,good,excellent,cloud computing,Cloud Computing,developer,no,Science,Technical,smart worker,no,yes,Cloud Solutions Architect
6,7,10,9,no,yes,devops certified engineer,DevOps,very good,good,security,DevOps,Systems Analysis Firms,no,Self help,Technical,smart worker,no,yes,DevOps Engineer
1,2,5,2,yes,yes,Certified AI Engineer,Cloud Computing,excellent,medium,security,Cloud Computing,developer,no,Self help,Technical,smart worker,no,no,Cloud Solutions Architect
2,7,6,2,no,yes,blockchain developer,Blockchain Technologies,very good,very good,cloud computing,Blockchain Development,Blockchain Technology Firms,yes,Math,Technical,hard worker,no,yes,Blockchain Developer
5,3,10,4,yes,yes,Data Science,AI,medium,good,cloud computing,AI,Data Science Firms,no,Art,Technical,hard worker,yes,no,Big Data Engineer
1,5,1,2,no,no,robotics process automation (RPA),Robotic Process Automation (RPA),very good,medium,security,Robotics,Web Services,yes,Math,Management,hard worker,no,yes,IT Project Manager
9,2,2,7,yes,no,Quantum Computing Certification,Cloud Computing,very good,excellent,developer,Cloud Computing,developer,no,Math,Technical,hard worker,no,no,Cloud Solutions Architect
10,2,2,10,yes,yes,Certified AI Engineer,Cloud Computing,excellent,very good,developer,Cloud Computing,developer,yes,Poetry,Technical,hard worker,yes,no,Cloud Solutions Architect
3,9,10,10,yes,yes,Cybersecurity,Cybersecurity,good,very good,cloud computing,AI,Cybersecurity Firms,no,Self help,Technical,hard worker,no,yes,Cybersecurity Analyst
1,10,8,8,yes,yes,blockchain developer,Blockchain Technologies,good,good,cloud computing,Blockchain Development,security,no,Drama,Technical,hard worker,no,no,Blockchain Developer
10,8,10,6,no,yes,Cybersecurity,Machine Learning,very good,very good,cloud computing,AI,security,yes,Science,Technical,hard worker,yes,no,Cybersecurity Analyst
2,5,10,1,no,yes,Robotics Engineering Certification,Cloud Computing,excellent,very good,cloud computing,Cloud Computing,developer,no,Cookbooks,Technical,hard worker,no,no,Cloud Solutions Architect
10,1,6,4,yes,no,devops certified engineer,DevOps,very good,excellent,security,DevOps,security,yes,Poetry,Technical,smart worker,no,yes,DevOps Engineer
1,0,9,9,yes,yes,Quantum Computing Certification,Cloud Computing,very good,good,cloud computing,Cloud Computing,developer,no,Science,Technical,hard worker,yes,yes,Cloud Solutions Architect
8,9,5,7,yes,yes,Robotics Engineering Certification,Cloud Computing,excellent,good,cloud computing,Cloud Computing,developer,yes,Horror,Technical,smart worker,yes,no,Cloud Solutions Architect
8,6,2,1,no,no,devops certified engineer,DevOps,excellent,excellent,security,DevOps,security,no,Self help,Technical,smart worker,no,no,DevOps Engineer
4,9,1,5,no,no,blockchain developer,Blockchain Technologies,medium,good,developer,Blockchain Development,Data Science Firms,yes,Math,Technical,hard worker,yes,no,Blockchain Developer
1,3,8,10,yes,yes,ai for healthcare,AI for Healthcare,medium,very good,developer,AI Research,security,no,Autobiographies,Technical,smart worker,no,yes,AI Specialist
3,3,7,2,yes,yes,blockchain developer,Blockchain Technologies,very good,medium,cloud computing,Blockchain Development,Blockchain Technology Firms,no,Childrens,Technical,hard worker,no,no,Blockchain Developer
4,10,2,10,no,no,Robotics Engineering Certification,Cloud Computing,medium,good,security,Cloud Computing,developer,yes,Self help,Technical,hard worker,yes,no,Cloud Solutions Architect
2,3,2,10,yes,yes,Data Science,AI,very good,good,developer,Machine Learning,Data Science Firms,no,Action and Adventure,Technical,hard worker,no,no,Big Data Engineer
9,2,10,6,yes,no,Cybersecurity,Machine Learning,medium,very good,security,Cybersecurity,IoT Startups,yes,Poetry,Technical,hard worker,no,yes,Cybersecurity Analyst
10,7,1,7,yes,yes,Machine Learning,AI,excellent,excellent,developer,AI,AI Research Labs,no,Comics,Technical,smart worker,no,no,Machine Learning Engineer
9,5,9,1,no,no,ai for healthcare,AI for Healthcare,excellent,very good,cloud computing,AI Research,developer,yes,Fantasy,Technical,smart worker,no,yes,AI Specialist
9,0,5,1,no,no,Cybersecurity,Cybersecurity,good,excellent,security,Machine Learning,Big Data Companies,yes,Travel,Technical,smart worker,yes,yes,Cybersecurity Analyst
3,1,5,10,yes,yes,Product Management Professional (PMP),Product Management,medium,very good,cloud computing,Product Management,Service Based,no,Mystery,Management,hard worker,yes,no,Product Manager
2,0,5,8,yes,no,Product Management Professional (PMP),Product Management,medium,good,cloud computing,Product Management,Product based,yes,Science fiction,Management,smart worker,yes,yes,Product Manager
2,4,1,8,no,yes,Quantum Computing Certification,Cloud Computing,good,good,developer,Cloud Computing,developer,no,Comics,Technical,hard worker,no,no,Cloud Solutions Architect
10,4,6,1,yes,yes,ar/vr development,AR/VR Development,medium,very good,cloud computing,Software Development,Sales and Marketing,yes,Guide,Technical,smart worker,no,yes,Systems Analyst
7,6,5,9,no,yes,Certified AI Engineer,Cloud Computing,very good,very good,developer,Cloud Computing,developer,no,Mystery,Technical,smart worker,no,yes,Cloud Solutions Architect
8,8,8,3,yes,no,ar/vr development,AR/VR Development,very good,good,developer,Web Development,Web Services,no,Journals,Technical,hard worker,yes,no,Systems Analyst
5,8,8,10,no,no,Quantum Computing Certification,Cloud Computing,good,very good,security,Cloud Computing,developer,yes,Drama,Technical,smart worker,yes,no,Cloud Solutions Architect
8,1,4,4,no,no,Certified ERP Consultant,ERP Systems,excellent,good,developer,ERP,Product based,no,Biographies,Management,smart worker,yes,no,ERP Consultant
5,6,3,10,yes,yes,Data Science,Data Science,good,medium,cloud computing,Data Science,Web Services,yes,Cookbooks,Technical,hard worker,yes,yes,Data Scientist
10,4,9,2,yes,no,robotics process automation (RPA),Robotic Process Automation (RPA),good,medium,security,Robotics,AI Research Labs,no,Biographies,Management,smart worker,no,yes,IT Project Manager
5,10,5,4,yes,no,Data Science,AI,medium,good,cloud computing,Machine Learning,developer,no,Math,Technical,smart worker,yes,yes,Data Scientist
5,9,4,5,yes,yes,Quantum Computing Certification,Cloud Computing,excellent,very good,developer,Cloud Computing,developer,yes,Fantasy,Technical,smart worker,yes,yes,Cloud Solutions Architect
1,2,7,2,yes,no,Certified ERP Consultant,ERP Systems,medium,good,cloud computing,ERP,Service Based,no,Poetry,Management,smart worker,no,no,ERP Consultant
10,5,1,10,no,no,Certified ERP Consultant,ERP Systems,medium,medium,cloud computing,ERP,Sales and Marketing,yes,Cookbooks,Management,hard worker,no,no,ERP Consultant
10,3,1,2,yes,yes,Machine Learning,AI,medium,medium,cloud computing,AI,security,no,Science,Technical,hard worker,yes,no,Machine Learning Engineer
10,9,2,7,yes,no,Cybersecurity,Machine Learning,medium,medium,developer,Machine Learning,AI Research Labs,no,Autobiographies,Technical,hard worker,yes,no,Cybersecurity Analyst
4,0,3,6,no,yes,robotics process automation (RPA),Robotic Process Automation (RPA),medium,good,cloud computing,Robotics,AI Research Labs,yes,Autobiographies,Management,smart worker,yes,no,IT Project Manager
1,4,4,1,yes,no,Data Science,Machine Learning,very good,medium,cloud computing,Data Science,Web Services,no,History,Technical,smart worker,no,no,Big Data Engineer
2,2,6,2,no,no,ar/vr development,AR/VR Development,medium,good,developer,Software Development,Web Services,yes,Autobiographies,Technical,hard worker,yes,yes,Systems Analyst
7,9,7,8,yes,yes,Robotics Engineering Certification,Cloud Computing,very good,very good,security,Cloud Computing,developer,no,Series,Technical,hard worker,no,no,Cloud Solutions Architect
5,0,8,5,no,yes,robotics process automation (RPA),Robotic Process Automation (RPA),excellent,good,cloud computing,Robotics,developer,no,History,Management,hard worker,no,no,IT Project Manager
3,1,3,4,no,no,robotics process automation (RPA),Robotic Process Automation (RPA),medium,excellent,security,Robotics,Product based,no,Biographies,Management,smart worker,no,no,IT Project Manager
9,8,4,4,yes,yes,ai for healthcare,AI for Healthcare,medium,excellent,developer,AI Research,AI Research Labs,no,Mystery,Technical,hard worker,yes,no,AI Specialist
2,4,4,10,no,yes,ar/vr development,AR/VR Development,excellent,medium,security,Web Development,Big Data Companies,yes,Autobiographies,Technical,hard worker,yes,yes,Systems Analyst
6,10,5,6,yes,no,Robotics Engineering Certification,Cloud Computing,excellent,good,developer,Cloud Computing,developer,yes,Childrens,Technical,hard worker,no,no,Cloud Solutions Architect
2,6,5,9,no,yes,Quantum Computing Certification,Cloud Computing,very good,excellent,cloud computing,Cloud Computing,developer,no,Health,Technical,hard worker,no,yes,Cloud Solutions Architect
2,2,5,8,no,yes,Certified AI Engineer,Cloud Computing,medium,excellent,developer,Cloud Computing,developer,yes,Childrens,Technical,hard worker,yes,yes,Cloud Solutions Architect
1,2,4,9,no,yes,blockchain developer,Blockchain Technologies,good,good,developer,Blockchain Development,security,yes,Drama,Technical,hard worker,no,no,Blockchain Developer
9,1,5,2,yes,yes,Data Science,Machine Learning,medium,medium,cloud computing,Machine Learning,AI Research Labs,yes,Comics,Technical,hard worker,no,yes,Big Data Engineer
4,2,8,8,yes,yes,Data Science,Machine Learning,medium,excellent,developer,Data Science,Product based,no,Self help,Technical,hard worker,no,no,Big Data Engineer
3,3,5,2,no,yes,Machine Learning,Machine Learning,medium,excellent,security,AI,Web Services,no,Horror,Technical,hard worker,no,yes,Machine Learning Engineer
6,0,8,8,no,yes,Data Science,AI,excellent,good,security,Machine Learning,Big Data Companies,no,Fantasy,Technical,hard worker,no,no,Big Data Engineer
3,2,2,6,yes,yes,Certified AI Engineer,Cloud Computing,excellent,good,cloud computing,Cloud Computing,developer,yes,Horror,Technical,smart worker,yes,yes,Cloud Solutions Architect
9,1,2,1,yes,yes,Robotics Engineering Certification,Cloud Computing,medium,excellent,developer,Cloud Computing,developer,yes,Art,Technical,hard worker,yes,yes,Cloud Solutions Architect
6,0,3,10,yes,no,Quantum Computing Certification,Cloud Computing,medium,excellent,security,Cloud Computing,developer,no,Drama,Technical,hard worker,yes,yes,Cloud Solutions Architect
10,0,9,2,no,no,Certified AI Engineer,Cloud Computing,good,very good,developer,Cloud Computing,developer,no,Dictionaries,Technical,hard worker,yes,no,Cloud Solutions Architect
6,10,10,9,yes,yes,Certified ERP Consultant,ERP Systems,excellent,medium,security,ERP,Product based,yes,Art,Management,hard worker,yes,yes,ERP Consultant
1,1,1,6,yes,yes,Robotics Engineering Certification,Cloud Computing,good,good,developer,Cloud Computing,developer,no,Math,Technical,smart worker,no,yes,Cloud Solutions Architect
9,7,7,1,no,no,Machine Learning,AI,excellent,good,developer,AI,Data Science Firms,no,Mystery,Technical,hard worker,no,no,Machine Learning Engineer
8,8,3,7,yes,no,Certified ERP Consultant,ERP Systems,good,good,cloud computing,ERP,Sales and Marketing,yes,Horror,Management,hard worker,yes,yes,ERP Consultant
8,5,4,5,no,no,Certified ERP Consultant,ERP Systems,excellent,excellent,cloud computing,ERP,Product based,yes,Childrens,Management,hard worker,yes,no,ERP Consultant
6,6,4,7,no,yes,devops certified engineer,DevOps,excellent,very good,developer,DevOps,Data Science Firms,yes,Biographies,Technical,hard worker,yes,yes,DevOps Engineer
9,0,4,5,yes,yes,Cybersecurity,Cybersecurity,good,excellent,security,AI,IoT Startups,yes,Comics,Technical,smart worker,yes,no,Cybersecurity Analyst
1,8,4,7,yes,yes,Product Management Professional (PMP),Product Management,very good,medium,security,Product Management,Sales and Marketing,no,Fantasy,Management,smart worker,yes,yes,Product Manager
8,5,2,2,yes,yes,Product Management Professional (PMP),Product Management,excellent,very good,cloud computing,Product Management,Finance,no,Dictionaries,Management,smart worker,yes,no,Product Manager
1,1,2,3,yes,yes,Robotics Engineering Certification,Cloud Computing,very good,good,cloud computing,Cloud Computing,developer,no,Comics,Technical,smart worker,no,no,Cloud Solutions Architect
9,10,4,4,no,no,Product Management Professional (PMP),Product Management,good,medium,cloud computing,Product Management,Finance,no,Health,Management,hard worker,no,yes,Product Manager
8,6,1,6,yes,no,Quantum Computing Certification,Cloud Computing,good,medium,developer,Cloud Computing,developer,yes,Travel,Technical,smart worker,yes,yes,Cloud Solutions Architect
8,1,4,9,yes,yes,Cybersecurity,AI,very good,good,developer,AI,Cybersecurity Firms,yes,Guide,Technical,smart worker,no,no,Cybersecurity Analyst
10,2,6,3,yes,yes,Certified ERP Consultant,ERP Systems,very good,very good,developer,ERP,Service Based,yes,Horror,Management,hard worker,no,no,ERP Consultant
9,6,5,9,yes,no,blockchain developer,Blockchain Technologies,medium,good,security,Blockchain Development,Big Data Companies,yes,Poetry,Technical,smart worker,yes,yes,Blockchain Developer
2,9,10,3,yes,yes,Certified ERP Consultant,ERP Systems,excellent,excellent,cloud computing,ERP,Sales and Marketing,no,Science,Management,hard worker,no,yes,ERP Consultant
7,4,2,7,yes,yes,ai for healthcare,AI for Healthcare,medium,good,developer,AI Research,developer,yes,Fantasy,Technical,hard worker,no,no,AI Specialist
4,10,1,3,no,yes,Quantum Computing Certification,Cloud Computing,very good,medium,developer,Cloud Computing,developer,no,Guide,Technical,smart worker,no,no,Cloud Solutions Architect
5,3,4,8,yes,yes,Data Science,AI,very good,very good,security,Machine Learning,developer,no,Guide,Technical,hard worker,no,no,Data Scientist
2,2,10,5,yes,no,Machine Learning,Machine Learning,excellent,excellent,security,AI,IoT Startups,no,Mystery,Technical,hard worker,yes,yes,Machine Learning Engineer
5,6,1,2,yes,no,Cybersecurity,Cybersecurity,medium,good,developer,AI,Cybersecurity Firms,no,Self help,Technical,smart worker,no,no,Cybersecurity Analyst
6,6,3,2,no,yes,devops certified engineer,DevOps,medium,excellent,cloud computing,DevOps,Testing and Maintainance Services,yes,Series,Technical,hard worker,no,yes,DevOps Engineer
9,8,2,10,no,no,Quantum Computing Certification,Cloud Computing,good,excellent,cloud computing,Cloud Computing,developer,yes,Action and Adventure,Technical,smart worker,no,no,Cloud Solutions Architect
3,5,7,1,no,no,ar/vr development,AR/VR Development,medium,good,developer,Web Development,Big Data Companies,yes,Health,Technical,hard worker,yes,yes,Systems Analyst
10,2,3,3,yes,yes,robotics process automation (RPA),Robotic Process Automation (RPA),excellent,very good,developer,Robotics,Big Data Companies,no,Journals,Management,hard worker,no,no,IT Project Manager
3,3,1,8,yes,no,robotics process automation (RPA),Robotic Process Automation (RPA),very good,excellent,cloud computing,Robotics,Web Services,no,Horror,Management,hard worker,yes,no,IT Project Manager
6,6,10,3,no,no,ar/vr development,AR/VR Development,medium,excellent,security,Web Development,Big Data Companies,no,Dictionaries,Technical,hard worker,yes,no,Systems Analyst
9,5,1,5,no,yes,Cybersecurity,Machine Learning,good,good,cloud computing,Machine Learning,IoT Startups,yes,Series,Technical,smart worker,yes,no,Cybersecurity Analyst
1,6,4,6,no,no,devops certified engineer,DevOps,very good,very good,cloud computing,DevOps,Data Science Firms,yes,Math,Technical,hard worker,yes,no,DevOps Engineer
10,8,7,4,yes,yes,Quantum Computing Certification,Cloud Computing,medium,good,cloud computing,Cloud Computing,developer,yes,Biographies,Technical,hard worker,no,no,Cloud Solutions Architect
10,8,1,9,no,yes,ai for healthcare,AI for Healthcare,very good,medium,security,AI Research,developer,no,Poetry,Technical,smart worker,no,yes,AI Specialist
9,8,2,6,no,no,Data Science,AI,good,good,security,Machine Learning,security,yes,Science,Technical,smart worker,no,yes,Data Scientist
3,8,4,10,yes,no,Product Management Professional (PMP),Product Management,good,medium,cloud computing,Product Management,Sales and Marketing,no,History,Management,hard worker,yes,yes,Product Manager
8,3,4,9,yes,yes,ar/vr development,AR/VR Development,medium,good,cloud computing,Web Development,IoT Startups,no,Science,Technical,hard worker,no,yes,Systems Analyst
5,6,4,2,no,no,Quantum Computing Certification,Cloud Computing,very good,excellent,security,Cloud Computing,developer,no,Math,Technical,smart worker,no,no,Cloud Solutions Architect
3,2,7,4,no,yes,Product Management Professional (PMP),Product Management,medium,good,developer,Product Management,Product based,no,Childrens,Management,smart worker,no,yes,Product Manager
9,7,2,2,no,yes,devops certified engineer,DevOps,good,medium,security,DevOps,Systems Analysis Firms,yes,Journals,Technical,hard worker,no,no,DevOps Engineer
5,1,6,9,no,yes,Product Management Professional (PMP),Product Management,excellent,very good,cloud computing,Product Management,Sales and Marketing,yes,Comics,Management,hard worker,no,yes,Product Manager
6,6,5,6,yes,yes,ai for healthcare,AI for Healthcare,excellent,medium,developer,AI Research,Big Data Companies,no,Autobiographies,Technical,hard worker,no,yes,AI Specialist
7,7,9,3,no,no,blockchain developer,Blockchain Technologies,very good,very good,developer,Blockchain Development,Product based,no,Science,Technical,smart worker,no,no,Blockchain Developer
7,9,7,6,no,yes,Machine Learning,AI,excellent,very good,security,AI,security,yes,Childrens,Technical,hard worker,no,no,Machine Learning Engineer
8,0,8,1,yes,no,blockchain developer,Blockchain Technologies,good,very good,cloud computing,Blockchain Development,security,no,Horror,Technical,smart worker,yes,yes,Blockchain Developer
9,4,10,6,no,yes,Product Management Professional (PMP),Product Management,very good,very good,security,Product Management,Finance,no,Autobiographies,Management,hard worker,yes,yes,Product Manager
9,4,4,2,no,yes,blockchain developer,Blockchain Technologies,excellent,medium,cloud computing,Blockchain Development,Blockchain Technology Firms,no,Autobiographies,Technical,hard worker,yes,yes,Blockchain Developer
1,4,7,8,no,yes,blockchain developer,Blockchain Technologies,medium,good,security,Blockchain Development,Systems Analysis Firms,no,Action and Adventure,Technical,hard worker,yes,no,Blockchain Developer
9,3,8,9,no,yes,ai for healthcare,AI for Healthcare,good,good,cloud computing,AI Research,developer,no,Science,Technical,smart worker,yes,yes,AI Specialist
3,4,2,6,yes,no,Data Science,Machine Learning,medium,good,security,AI,developer,no,Childrens,Technical,smart worker,yes,no,Data Scientist
7,8,1,6,yes,no,Certified ERP Consultant,ERP Systems,excellent,very good,developer,ERP,Product based,yes,Art,Management,smart worker,no,yes,ERP Consultant
9,9,4,5,yes,no,Certified AI Engineer,Cloud Computing,good,medium,security,Cloud Computing,developer,no,Poetry,Technical,hard worker,yes,no,Cloud Solutions Architect
10,6,1,1,yes,yes,devops certified engineer,DevOps,medium,good,developer,DevOps,security,no,Guide,Technical,smart worker,yes,no,DevOps Engineer
4,2,5,8,no,yes,Certified ERP Consultant,ERP Systems,very good,very good,developer,ERP,Sales and Marketing,yes,Travel,Management,hard worker,no,yes,ERP Consultant
6,7,7,7,yes,yes,Machine Learning,Machine Learning,medium,medium,cloud computing,Machine Learning,developer,no,Poetry,Technical,smart worker,no,no,Machine Learning Engineer
5,7,9,1,no,yes,Quantum Computing Certification,Cloud Computing,excellent,good,developer,Cloud Computing,developer,no,Travel,Technical,smart worker,no,no,Cloud Solutions Architect
6,9,4,3,no,no,ai for healthcare,AI for Healthcare,excellent,good,cloud computing,AI Research,AI Research Labs,no,Science fiction,Technical,smart worker,no,yes,AI Specialist
5,2,10,6,no,no,Certified ERP Consultant,ERP Systems,good,good,security,ERP,Product based,no,Comics,Management,hard worker,yes,no,ERP Consultant
4,8,5,7,yes,yes,Certified AI Engineer,Cloud Computing,excellent,medium,cloud computing,Cloud Computing,developer,no,Fantasy,Technical,hard worker,no,yes,Cloud Solutions Architect
6,9,8,2,no,no,blockchain developer,Blockchain Technologies,good,medium,developer,Blockchain Development,Blockchain Technology Firms,no,Self help,Technical,hard worker,yes,no,Blockchain Developer
5,0,1,1,yes,no,Data Science,Data Science,good,medium,cloud computing,Data Science,Data Science Firms,no,Horror,Technical,smart worker,no,no,Big Data Engineer
2,9,6,7,yes,no,Quantum Computing Certification,Cloud Computing,good,medium,cloud computing,Cloud Computing,developer,yes,Science,Technical,hard worker,no,no,Cloud Solutions Architect
8,10,10,1,yes,no,blockchain developer,Blockchain Technologies,very good,good,security,Blockchain Development,developer,no,Travel,Technical,hard worker,no,no,Blockchain Developer
4,5,4,2,no,yes,Machine Learning,Machine Learning,medium,very good,security,AI,AI Research Labs,no,Biographies,Technical,smart worker,no,no,Machine Learning Engineer
3,3,4,2,no,yes,devops certified engineer,DevOps,very good,excellent,cloud computing,DevOps,Data Science Firms,no,Math,Technical,hard worker,no,no,DevOps Engineer
2,0,5,10,yes,yes,devops certified engineer,DevOps,excellent,medium,security,DevOps,Systems Analysis Firms,yes,Biographies,Technical,smart worker,no,yes,DevOps Engineer
1,10,1,7,no,no,ai for healthcare,AI for Healthcare,very good,good,developer,AI Research,Web Services,no,Fantasy,Technical,smart worker,yes,yes,AI Specialist
4,6,8,6,yes,yes,blockchain developer,Blockchain Technologies,excellent,excellent,cloud computing,Blockchain Development,Big Data Companies,no,Series,Technical,smart worker,no,yes,Blockchain Developer
3,3,10,7,no,no,Robotics Engineering Certification,Cloud Computing,excellent,good,developer,Cloud Computing,developer,yes,Fantasy,Technical,hard worker,yes,no,Cloud Solutions Architect
3,8,7,1,yes,no,robotics process automation (RPA),Robotic Process Automation (RPA),excellent,medium,security,Robotics,developer,yes,Comics,Management,smart worker,no,yes,IT Project Manager
2,6,8,6,no,yes,Data Science,AI,medium,good,cloud computing,Machine Learning,AI Research Labs,no,Self help,Technical,smart worker,yes,yes,Big Data Engineer
4,2,9,1,yes,no,ar/vr development,AR/VR Development,excellent,excellent,developer,Software Development,Web Services,no,Mystery,Technical,smart worker,no,no,Systems Analyst
8,10,7,9,yes,no,robotics process automation (RPA),Robotic Process Automation (RPA),medium,medium,security,Robotics,AI Research Labs,yes,Biographies,Management,smart worker,yes,yes,IT Project Manager
1,5,6,3,no,no,Certified ERP Consultant,ERP Systems,medium,excellent,security,ERP,Product based,yes,Cookbooks,Management,smart worker,yes,yes,ERP Consultant
3,7,6,2,yes,no,Product Management Professional (PMP),Product Management,medium,good,developer,Product Management,Product based,no,Comics,Management,hard worker,yes,no,Product Manager
9,5,6,9,no,no,ai for healthcare,AI for Healthcare,good,medium,cloud computing,AI Research,developer,no,Autobiographies,Technical,hard worker,no,yes,AI Specialist
7,0,6,3,yes,no,ar/vr development,AR/VR Development,medium,very good,security,Software Development,Product based,no,Biographies,Technical,smart worker,yes,yes,Systems Analyst
1,6,8,6,no,no,Certified AI Engineer,Cloud Computing,very good,excellent,developer,Cloud Computing,developer,no,Journals,Technical,hard worker,yes,yes,Cloud Solutions Architect
6,3,9,9,no,no,Machine Learning,Machine Learning,medium,excellent,developer,AI,Big Data Companies,yes,Health,Technical,hard worker,yes,yes,Machine Learning Engineer
